Generation,Time A,Time B,Time C,Distance
3,10.88,134.72,355.82,266.96
4,9.42,92.56,343.12,258.57
5,16.24,82.28,321.37,264.03
6,10.24,69.15,342.2,258.86
7,6.71,61.07,229.26,229.07
8,4.79,40.37,200.19,229.39
9,13.85,46.27,178.67,246.34
10,0.79,46.64,193.8,270.15

1,61.67,193.3,391.26,276.95
2,14.06,155.18,301.35,241.54
3,14.91,132.16,199.98,242.87
4,10.69,95.05,255.32,231.99
5,10.71,30.98,165.66,207.6
6,6.45,33.95,120.15,203.54
7,13.47,34.51,95.73,202.98
8,5.01,30.85,68.2,223.31
9,2.4,24.2,48.46,230.55
10,2.46,30.04,44.12,212.99

1,52.84,209.61,400.08,301.73
2,12.79,92.44,310.46,204.16
3,10.02,86.2,229.92,214.31
4,3.66,59.35,217.27,233.66
5,5.13,37.53,197.42,217.55
6,2.57,21.24,130.75,217.64
7,7.96,31.52,98.92,231.6
8,3.94,32.89,49.58,240.49
9,0.0,12.03,79.19,255.68
10,0.0,21.41,60.98,254.55

1,46.17,204.53,400.79,285.2
2,1.64,204.53,335.37,239.65
3,12.58,144.2,249.39,226.46
4,14.76,137.91,209.34,228.75
5,1.35,112.5,178.64,210.71
6,0.0,81.67,188.25,210.82
7,8.44,78.12,163.78,224.76
8,0.12,47.88,122.98,210.44
9,0.0,59.43,116.32,227.43
10,1.21,56.32,108.55,229.01

1,64.43,198.6,402.28,300.3
2,21.45,90.79,353.9,242.06
3,9.02,72.84,309.17,215.49
4,6.99,62.41,302.11,228.59
5,9.06,67.26,274.86,200.53
6,9.26,67.74,210.04,221.45
7,8.18,68.06,183.47,240.09
8,3.32,75.09,195.73,263.19
9,0.0,83.27,165.07,286.05
10,0.0,62.88,137.24,282.36

1,66.87,194.16,406.37,302.85
2,6.92,104.1,394.45,259.68
3,5.98,94.18,355.45,256.98
4,3.25,120.88,237.74,258.15
5,7.64,79.83,183.26,244.59
6,2.66,68.83,204.97,258.89
7,2.96,37.59,215.83,271.68
8,8.92,33.08,231.72,291.66
9,7.63,43.09,201.48,289.96
10,0.0,37.53,199.84,296.97

1,60.98,187.24,409.89,288.73
2,15.22,75.13,323.23,222.01
3,11.87,52.8,266.2,195.54
4,3.44,50.41,268.14,197.13
5,0.0,51.18,234.18,215.65
6,0.0,35.79,243.36,202.51
7,0.0,37.97,205.24,220.16
8,0.0,40.98,229.36,195.8
9,0.0,46.6,178.81,194.73
10,2.58,43.77,170.6,216.26

1,47.86,170.2,426.49,280.53
2,22.37,104.1,422.02,244.13
3,32.68,59.75,344.08,238.04
4,11.28,37.47,209.34,231.99
5,9.55,23.98,163.35,242.29
6,4.57,2.02,177.81,248.09
7,4.13,18.88,178.62,240.87
8,0.45,40.65,145.63,228.14
9,8.02,30.01,138.05,231.83
10,2.1,26.51,177.38,250.1

1,46.96,183.45,435.66,322.39
2,18.47,111.72,408.06,259.66
3,9.38,81.4,365.72,220.07
4,12.32,86.88,289.88,208.47
5,12.36,66.01,281.43,223.37
6,4.91,87.68,279.55,246.96
7,1.4,48.14,250.52,260.14
8,2.12,58.83,249.92,274.07
9,1.0,81.83,251.08,263.92
10,11.83,26.21,259.32,250.96

1,53.11,198.2,410.35,270.76
2,5.93,99.5,394.36,189.85
3,9.5,77.08,271.68,183.34
4,0.0,54.47,214.21,194.44
5,8.39,70.79,187.3,186.56
6,2.74,38.18,213.8,198.23
7,0.0,29.56,232.33,208.68
8,0.0,8.16,214.37,177.23
9,0.0,0.0,125.33,179.64
10,0.0,0.0,95.45,203.74

1,77.46,199.27,413.62,271.42
2,11.86,107.9,321.29,185.12
3,0.0,68.92,213.41,180.89
4,0.0,27.2,151.14,184.41
5,7.47,0.14,146.82,176.13
6,0.0,30.82,181.68,210.95
7,0.0,5.2,158.3,225.57
8,0.0,61.94,142.21,236.62
9,0.0,52.7,128.74,250.68
10,0.0,32.84,142.25,258.46

1,59.12,177.41,426.44,317.79
2,31.34,105.45,340.28,257.32
3,8.09,115.95,284.16,258.94
4,9.05,92.0,268.17,274.57
5,13.6,63.02,301.02,247.08
6,15.17,68.02,192.67,253.56
7,8.51,62.03,198.76,250.85
8,12.87,61.79,164.24,262.27
9,4.32,47.32,157.62,269.61
10,1.29,25.21,100.29,257.71

1,64.9,201.62,414.94,314.58
2,36.27,148.99,351.62,239.8
3,9.78,130.86,207.91,174.76
4,0.0,84.53,143.57,185.27
5,0.0,70.06,147.05,179.29
6,8.73,44.04,98.25,183.22
7,1.81,46.49,74.77,176.74
8,2.6,23.62,114.42,165.69
9,0.03,20.02,121.79,195.11
10,4.59,20.02,63.23,238.29
