Generation,Time A,Time B,Time C,Distance
5,7.41,50.22,280.97,199.32
6,6.6,56.72,270.18,214.95
7,16.06,49.77,198.71,207.6
8,8.31,44.01,162.82,223.12
9,12.67,38.38,116.36,249.56
10,5.24,31.59,149.33,260.4

1,83.76,202.82,408.61,283.83
2,13.21,75.4,440.79,217.87
3,12.21,48.72,424.48,203.79
4,5.4,26.05,263.45,179.68
5,0.0,33.26,212.4,173.23
6,1.27,15.16,209.22,187.09
7,0.0,6.91,197.6,178.63
8,5.44,12.37,177.83,191.36
9,0.0,23.71,140.0,204.64
10,0.0,17.38,94.25,202.19

1,46.4,197.26,400.49,319.03
2,9.06,115.11,351.71,264.43
3,0.0,72.04,381.61,237.6
4,5.81,70.46,303.87,216.39
5,8.24,74.89,264.55,221.18
6,0.0,60.92,164.77,219.18
7,0.0,52.83,155.2,223.23
8,0.0,67.54,127.79,237.07
9,0.0,51.89,131.25,240.81
10,0.0,54.5,95.7,251.74

1,58.84,217.67,410.51,318.06
2,13.55,146.6,340.34,230.99
3,1.71,94.25,289.74,228.63
4,6.09,91.14,265.44,233.8
5,8.77,49.25,214.62,224.66
6,7.93,60.01,193.96,230.12
7,4.7,18.95,187.33,218.94
8,0.0,34.71,138.29,214.86
9,4.96,17.29,138.52,227.0
10,0.0,18.91,146.05,231.88

1,48.05,168.72,456.6,313.37
2,23.15,122.8,400.68,245.84
3,0.96,107.04,281.02,220.49
4,4.7,107.0,248.48,225.44
5,10.16,110.57,227.34,246.88
6,11.56,113.47,273.87,234.62
7,1.33,74.51,203.29,216.08
8,11.75,36.74,166.59,229.9
9,7.46,48.16,117.7,217.21
10,0.0,16.22,106.01,218.15

1,61.56,187.8,402.34,322.79
2,4.04,125.48,356.71,252.12
3,8.15,112.2,231.65,207.85
4,5.57,48.37,163.04,196.57
5,1.25,16.77,137.04,171.41
6,1.13,10.01,142.65,188.89
7,0.0,10.1,114.87,199.06
8,2.72,15.23,107.97,222.31
9,0.0,33.57,109.54,199.23
10,2.39,23.84,79.6,162.37

1,63.99,192.87,401.94,288.4
2,7.89,153.1,285.28,245.7
3,9.24,87.21,291.85,229.05
4,2.47,60.35,274.47,219.93
5,13.2,52.45,171.52,246.2
6,3.53,39.02,178.54,234.07
7,1.26,49.1,148.28,234.07
8,0.0,50.15,126.17,236.02
9,4.87,39.55,102.65,275.33
10,0.0,40.5,93.03,283.75

1,59.39,171.22,452.71,339.4
2,20.22,140.46,375.55,288.72
3,14.44,137.53,362.12,273.95
4,1.91,79.51,343.48,275.76
5,1.26,64.2,293.86,292.2
6,4.21,52.19,251.67,316.82
7,2.31,79.62,239.67,301.91
8,2.45,91.99,215.01,263.39
9,0.0,79.8,217.4,232.43
10,1.25,67.15,217.95,233.65

1,57.96,186.86,415.83,294.15
2,6.45,95.53,288.11,240.08
3,10.16,68.07,194.26,207.04
4,6.27,83.83,207.65,203.93
5,4.25,73.35,144.14,206.24
6,4.57,35.44,150.24,214.48
7,1.31,46.69,113.33,228.22
8,5.09,38.58,110.05,233.83
9,5.16,87.25,149.25,261.18
10,0.0,43.05,160.85,247.26

1,41.22,178.3,392.31,303.83
2,16.39,107.09,460.31,269.61
3,11.79,76.41,366.22,213.3
4,0.0,32.9,237.53,195.17
5,12.01,17.65,279.18,226.15
6,0.85,39.43,209.85,226.2
7,7.73,46.25,141.05,233.99
8,1.35,16.11,44.26,231.68
9,0.0,28.66,101.24,221.87
10,0.0,10.47,98.37,226.26

1,69.78,198.37,412.5,290.75
2,22.36,106.06,298.34,202.49
3,7.01,70.96,211.68,216.97
4,7.78,75.63,138.56,199.3
5,7.3,59.69,137.55,197.57
6,12.21,29.86,120.16,197.07
7,2.53,29.49,117.78,229.52
8,0.0,16.82,96.3,229.27
9,0.0,16.42,68.14,221.15
10,0.0,9.57,60.04,224.53

1,75.93,190.0,384.21,302.49
2,13.46,134.07,371.82,226.04
3,0.0,103.92,253.07,203.9
4,9.25,58.16,247.89,197.14
5,0.0,15.61,229.82,232.24
6,0.0,3.58,145.06,244.94
7,0.0,12.14,171.96,242.72
8,0.0,0.0,157.07,240.11
9,0.0,0.0,143.68,260.39
10,0.0,0.0,116.39,268.36

1,44.32,157.62,426.13,286.7
2,10.43,116.81,380.43,240.64
3,15.69,149.34,340.61,213.55
4,11.66,127.26,212.77,179.62
5,13.27,108.67,218.26,170.11
6,9.36,87.11,198.24,179.37
7,16.58,47.06,194.84,194.19
8,7.15,48.58,96.27,213.93
9,8.22,55.86,112.39,236.63
10,7.77,28.14,84.56,284.8
