Generation,Time A,Time B,Time C,Distance
2,40.53,24.54,44.9,120.77
3,8.22,20.88,21.27,167.87
4,3.58,27.6,17.35,204.93
5,11.92,16.96,22.84,226.9
6,9.46,10.01,0.15,226.14
7,3.68,10.01,0.0,214.89
8,0.0,10.01,0.0,216.9
9,3.7,10.01,0.0,231.59
10,4.61,10.01,0.0,254.02

1,279.82,177.99,43.93,204.93
2,54.57,56.31,44.11,152.68
3,28.32,47.35,20.02,171.2
4,20.8,14.86,10.01,221.55
5,33.3,24.48,31.0,226.87
6,2.76,0.0,55.5,236.29
7,6.65,0.0,20.75,246.62
8,6.43,0.0,10.01,275.97
9,8.12,0.0,10.01,259.62
10,7.1,0.0,10.01,266.36

1,254.61,194.01,70.69,280.93
2,51.72,114.72,60.8,193.25
3,10.33,70.9,30.03,202.46
4,22.04,66.25,36.69,212.85
5,12.66,70.38,10.01,222.16
6,10.33,58.78,10.01,214.68
7,0.61,24.88,10.01,187.22
8,0.0,0.0,10.01,212.96
9,0.0,0.0,10.01,222.93
10,0.0,0.0,10.01,216.97

1,249.63,192.27,51.04,224.22
2,16.29,78.27,71.45,155.36
3,41.4,43.04,20.77,155.73
4,11.52,49.85,12.33,173.29
5,11.6,36.32,19.76,184.68
6,5.17,28.16,8.92,212.64
7,17.85,22.39,12.72,215.37
8,4.6,10.01,14.54,220.14
9,7.04,10.01,13.89,234.21
10,2.46,10.01,19.89,263.35

1,264.72,155.21,50.93,233.88
2,32.97,48.74,53.25,173.23
3,26.85,47.88,62.7,168.67
4,14.67,55.59,49.01,176.76
5,17.98,38.37,56.99,161.71
6,1.76,37.29,28.16,149.58
7,4.33,10.01,17.19,171.85
8,4.87,10.01,11.63,176.2
9,0.0,10.01,0.0,186.71
10,0.0,10.01,0.0,210.66

1,293.03,164.19,94.65,237.21
2,21.48,85.62,18.74,178.79
3,14.32,40.46,17.79,184.89
4,17.7,4.58,32.41,231.14
5,6.78,27.53,33.51,238.61
6,5.43,17.49,24.74,226.72
7,0.0,10.0,18.72,236.79
8,0.0,10.62,14.69,259.91
9,0.0,0.0,24.25,275.98
10,1.26,0.0,21.94,257.6

1,268.49,178.29,91.2,190.67
2,26.74,56.01,54.5,142.14
3,11.62,53.61,41.74,185.53
4,23.75,38.52,24.99,196.53
5,20.8,39.57,21.73,249.66
6,13.4,28.38,17.86,284.28
7,5.52,18.77,10.04,258.07
8,21.56,10.01,0.0,254.15
9,4.62,10.01,0.0,267.8
10,5.81,10.01,0.0,277.12

1,232.29,211.05,71.06,220.84
2,16.36,52.11,48.15,165.45
3,7.56,17.02,30.52,189.13
4,12.26,11.0,22.34,223.9
5,14.66,13.08,5.04,232.89
6,0.0,11.82,0.0,223.13
7,2.55,0.0,0.0,228.24
8,2.52,0.0,0.0,243.39
9,6.63,0.0,0.0,238.99
10,9.09,0.0,0.0,243.58

1,250.6,182.66,59.09,236.85
2,26.99,64.81,44.33,171.71
3,20.25,51.52,70.82,201.21
4,16.12,49.16,41.53,202.36
5,14.33,44.63,10.43,196.97
6,10.74,32.14,13.87,194.86
7,20.51,30.03,0.0,192.1
8,13.38,30.03,0.0,201.82
9,14.08,30.03,0.0,205.9
10,16.05,30.03,0.0,207.25

1,300.52,175.96,69.05,218.45
2,44.75,81.42,29.04,157.37
3,32.14,66.27,26.63,208.31
4,36.96,61.67,6.11,242.4
5,36.98,54.65,16.35,221.32
6,26.27,45.23,21.87,231.78
7,31.72,46.29,23.57,198.99
8,29.44,43.16,18.87,198.8
9,23.57,45.12,19.89,207.6
10,22.83,10.35,18.67,217.96

1,224.76,188.72,103.86,252.82
2,30.97,64.24,37.38,178.97
3,2.98,50.51,23.59,179.09
4,14.92,36.63,10.01,197.31
5,10.08,34.28,10.01,205.79
6,5.54,12.42,10.01,219.61
7,4.47,14.6,10.01,250.73
8,3.32,8.29,10.01,252.49
9,4.4,11.14,10.01,265.85
10,5.91,6.62,10.01,270.07

1,246.58,199.85,88.88,235.81
2,53.07,101.63,56.27,144.61
3,8.98,12.13,24.1,157.68
4,12.05,1.24,16.38,208.26
5,11.83,12.41,16.64,229.01
6,4.23,10.36,25.36,230.52
7,2.23,0.0,8.46,244.15
8,8.63,0.0,0.0,258.0
9,7.0,0.0,0.0,262.42
10,6.25,0.0,0.0,280.66

1,250.41,149.3,70.05,236.88
2,50.7,69.41,44.54,182.0
3,9.52,30.25,20.2,155.22
4,7.66,10.68,10.01,160.36
5,8.01,0.0,5.6,163.51
6,12.34,0.0,11.08,173.76
7,13.42,3.71,17.86,214.18
8,2.3,13.3,18.99,210.66
9,0.0,10.04,30.03,205.62
10,0.0,0.0,2.13,218.26
