Generation,Time A,Time B,Time C,Distance
3,28.39,72.11,113.17,223.62
4,7.7,72.95,90.09,220.87
5,1.24,62.76,94.26,214.18
6,2.44,51.12,64.65,208.51
7,1.24,16.63,72.31,220.06
8,2.05,10.01,0.0,219.9
9,7.23,10.01,0.0,237.33
10,3.27,10.01,0.0,248.4

1,106.81,213.09,288.86,285.04
2,17.02,144.85,239.01,219.28
3,8.73,93.78,174.05,188.34
4,3.6,51.64,78.9,157.69
5,6.07,26.81,39.39,173.72
6,8.68,4.06,42.31,188.31
7,4.76,19.36,49.79,183.23
8,11.76,12.9,69.0,180.63
9,6.0,10.01,25.72,185.11
10,9.31,10.01,20.02,204.05

1,112.22,227.06,257.85,218.87
2,24.3,79.35,121.9,165.81
3,1.86,25.1,67.35,195.31
4,6.4,26.98,60.92,190.38
5,11.89,42.18,45.58,192.18
6,4.3,38.19,59.07,208.34
7,8.71,40.39,46.85,228.8
8,9.49,84.92,16.77,232.42
9,16.57,51.56,20.02,253.96
10,4.54,55.44,34.27,237.41

1,147.93,216.06,257.51,272.54
2,15.09,119.56,224.98,198.6
3,4.38,99.41,163.83,182.27
4,7.82,62.65,111.31,193.72
5,1.49,65.15,75.36,163.05
6,8.45,49.42,54.33,161.92
7,0.64,41.77,70.15,177.67
8,3.18,19.26,48.43,171.97
9,0.0,20.02,45.09,176.08
10,0.0,20.21,38.33,177.4

1,111.21,230.67,257.39,266.17
2,19.29,138.24,118.44,175.14
3,4.98,110.0,80.08,169.79
4,11.36,38.85,87.29,189.37
5,12.75,50.73,95.07,204.8
6,4.69,64.08,103.47,217.55
7,11.11,48.77,81.59,203.44
8,0.0,67.61,84.75,245.75
9,5.64,54.24,89.49,267.18
10,0.0,38.4,81.76,270.16

1,111.43,250.21,236.64,258.82
2,24.61,115.04,215.66,223.35
3,2.21,78.92,225.04,239.19
4,11.47,59.16,198.62,232.42
5,0.0,11.96,173.47,261.71
6,0.0,4.86,164.55,282.99
7,4.41,18.66,132.85,271.67
8,1.55,20.34,78.56,258.06
9,10.37,10.76,71.98,266.58
10,2.81,11.3,84.79,272.06
